Company Name,Symbol,Industry,PE Ratio,EPS,ROE (%),Debt/Equity,Market Cap (Cr),Dividend Yield (%)
Century Plyboards (India) Ltd.,CENTURYPLY,Consumer Durables,24.27,45.81,16.14,1.3,54032.42,2.35
Cera Sanitaryware Ltd,CERA,Consumer Durables,20.65,19.7,13.23,1.07,10525.56,1.75
Chalet Hotels Ltd.,CHALET,Consumer Services,14.23,26.37,9.68,2.28,296999.43,3.46
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals,24.63,29.94,11.04,0.9,293627.14,3.78
Chemplast Sanmar Ltd.,CHEMPLASTS,Chemicals,18.91,15.1,13.41,0.67,323135.66,2.94
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Oil Gas & Consumable Fuels,9.2,49.46,14.06,1.59,51340.35,0.93
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services,11.44,25.44,12.8,5.0,87100.11,4.5
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Financial Services,9.12,49.09,16.16,9.88,56463.43,2.11
Cipla Ltd.,CIPLA,Healthcare,29.45,44.62,16.17,0.89,85858.35,3.41
City Union Bank Ltd.,CUB,Financial Services,21.01,51.19,18.57,4.96,384861.72,1.1
Clean Science and Technology Ltd.,CLEAN,Chemicals,17.18,27.02,16.09,0.52,57860.99,3.13
Coal India Ltd.,COALINDIA,Oil Gas & Consumable Fuels,8.6,33.25,9.54,2.2,266528.42,0.45
Cochin Shipyard Ltd.,COCHINSHIP,Capital Goods,15.05,15.38,8.63,2.48,161515.75,4.09
Coforge Ltd.,COFORGE,Information Technology,20.09,64.08,21.88,0.34,236052.31,2.18
Colgate Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods,33.72,38.24,36.61,1.45,62586.46,3.71
Computer Age Management Services Ltd.,CAMS,Financial Services,21.14,26.78,11.0,8.19,287449.32,4.24
Concord Biotech Ltd.,CONCORDBIO,Healthcare,14.52,41.81,10.02,0.75,82550.77,4.11
Container Corporation of India Ltd.,CONCOR,Services,19.98,30.92,12.31,2.25,196526.33,4.12
Coromandel International Ltd.,COROMANDEL,Chemicals,19.03,25.08,15.55,0.59,373930.89,2.61
Craftsman Automation Ltd.,CRAFTSMAN,Automobile and Auto Components,10.79,45.98,15.76,1.59,453282.82,3.2
CreditAccess Grameen Ltd.,CREDITACC,Financial Services,9.64,76.09,19.42,5.34,70066.4,4.01
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables,22.4,31.34,20.73,1.68,76261.6,1.7
Cummins India Ltd.,CUMMINSIND,Capital Goods,13.73,39.76,8.34,1.64,381348.11,4.41
Cyient Ltd.,CYIENT,Information Technology,21.84,71.06,13.44,0.44,64180.59,2.11
DLF Ltd.,DLF,Realty,17.57,8.75,6.6,4.17,360158.25,3.28
DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods,42.35,28.57,25.04,0.65,91208.06,4.56
Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,39.58,25.02,29.24,1.43,77099.03,3.01
Dalmia Bharat Ltd.,DALBHARAT,Construction Materials,14.07,28.34,8.18,1.81,466093.08,2.91
Data Patterns (India) Ltd.,DATAPATTNS,Capital Goods,20.45,46.9,15.07,0.81,288356.04,3.11
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,Chemicals,18.79,39.46,21.21,1.4,225694.27,0.74
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,27.76,43.56,11.5,1.4,435013.23,2.69
Delhivery Ltd.,DELHIVERY,Services,18.87,25.96,8.66,1.17,401525.3,0.22
Devyani International Ltd.,DEVYANI,Consumer Services,16.67,29.91,15.52,2.34,173499.82,1.87
Divi's Laboratories Ltd.,DIVISLAB,Healthcare,25.28,28.09,10.25,1.18,70858.08,1.05
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,19.97,26.76,20.98,1.04,290503.88,3.23
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare,12.24,36.54,9.78,1.94,74757.03,2.19
Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare,13.54,49.87,13.02,1.39,34004.7,3.8
E.I.D. Parry (India) Ltd.,EIDPARRY,Chemicals,15.36,45.92,12.46,0.45,18756.56,2.47
EIH Ltd.,EIHOTEL,Consumer Services,21.3,13.29,18.86,1.41,262432.94,2.32
Easy Trip Planners Ltd.,EASEMYTRIP,Consumer Services,18.02,37.98,10.17,0.86,430961.92,4.74
Eicher Motors Ltd.,EICHERMOT,Automobile and Auto Components,12.48,20.83,19.66,1.32,13180.48,0.95
Elecon Engineering Co. Ltd.,ELECON,Capital Goods,20.74,36.36,8.27,0.94,115921.86,3.43
Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods,10.3,14.16,16.0,0.86,326546.68,1.34
Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,27.49,21.08,34.45,1.31,415194.82,2.11
Emcure Pharmaceuticals Ltd.,EMCURE,Healthcare,24.03,18.2,10.93,1.84,6994.46,0.61
Endurance Technologies Ltd.,ENDURANCE,Automobile and Auto Components,10.49,11.06,12.72,1.67,211001.56,4.48
Engineers India Ltd.,ENGINERSIN,Construction,17.81,16.96,10.59,2.14,295352.32,1.49
Equitas Small Finance Bank Ltd.,EQUITASBNK,Financial Services,16.74,41.61,18.28,6.05,147585.65,4.75
Eris Lifesciences Ltd.,ERIS,Healthcare,25.74,15.6,16.68,1.23,447328.84,4.04
Escorts Kubota Ltd.,ESCORTS,Capital Goods,16.38,10.9,10.69,1.58,316922.37,1.44
Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components,9.67,43.4,24.77,1.55,86253.8,1.51
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Services,10.37,55.71,9.65,1.65,137390.58,2.86
Federal Bank Ltd.,FEDERALBNK,Financial Services,17.12,68.93,13.1,3.08,68874.37,4.52
Fertilisers and Chemicals Travancore Ltd.,FACT,Chemicals,25.98,33.9,17.21,1.06,88097.95,4.59
Fine Organic Industries Ltd.,FINEORG,Chemicals,18.7,25.33,16.23,0.26,83558.54,3.74
Finolex Cables Ltd.,FINCABLES,Capital Goods,11.24,34.13,10.45,1.28,144702.52,1.91
Finolex Industries Ltd.,FINPIPE,Capital Goods,20.79,21.88,13.66,1.45,332003.75,4.7
Firstsource Solutions Ltd.,FSL,Services,20.99,18.6,8.37,1.02,297741.43,0.45
Five-Star Business Finance Ltd.,FIVESTAR,Financial Services,14.95,53.79,15.01,8.4,53745.83,0.56
Fortis Healthcare Ltd.,FORTIS,Healthcare,25.11,29.82,14.88,1.15,123577.82,4.13
G R Infraprojects Ltd.,GRINFRA,Construction,17.59,29.31,10.72,2.77,180806.46,0.64
GAIL (India) Ltd.,GAIL,Oil Gas & Consumable Fuels,14.26,15.47,17.5,2.12,92973.9,2.8
GE Vernova T&D India Ltd.,GVT&D,Capital Goods,23.09,39.29,16.07,1.82,346292.14,4.28
GMR Airports Ltd.,GMRAIRPORT,Services,13.75,29.58,10.65,2.48,472057.64,0.39
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Capital Goods,20.58,47.01,9.81,1.64,457786.4,0.36
General Insurance Corporation of India,GICRE,Financial Services,17.76,34.33,23.87,9.8,472161.11,2.48
Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods,46.55,36.11,26.38,1.28,18985.31,3.06
Gland Pharma Ltd.,GLAND,Healthcare,16.14,14.82,8.77,1.54,170267.54,3.68
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,13.18,22.61,13.39,1.69,159716.88,3.2
Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,27.95,34.63,10.33,0.54,435114.39,0.3
Global Health Ltd.,MEDANTA,Healthcare,27.74,31.16,17.39,1.7,498968.09,1.88
Go Digit General Insurance Ltd.,GODIGIT,Financial Services,18.74,41.13,17.2,7.39,436901.72,4.92
Godawari Power & Ispat Ltd.,GPIL,Capital Goods,21.52,26.71,12.21,1.98,119769.18,0.73
Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,33.87,22.18,25.93,0.5,21525.55,0.29
Godrej Agrovet Ltd.,GODREJAGRO,Fast Moving Consumer Goods,49.69,25.69,27.69,1.08,109517.82,4.76
Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods,44.66,17.24,28.35,1.34,472393.65,2.44
Godrej Industries Ltd.,GODREJIND,Diversified,22.27,18.35,19.89,1.46,471394.52,3.32
Godrej Properties Ltd.,GODREJPROP,Realty,15.29,17.82,6.61,2.53,110632.86,1.09
Granules India Ltd.,GRANULES,Healthcare,26.03,24.01,8.58,1.95,441951.05,4.65
Graphite India Ltd.,GRAPHITE,Capital Goods,24.92,16.96,11.96,2.02,348162.3,0.94
Grasim Industries Ltd.,GRASIM,Construction Materials,17.79,16.73,10.24,1.31,296673.5,2.98
Great Eastern Shipping Co. Ltd.,GESHIP,Services,11.37,45.1,11.19,0.76,444429.67,4.79
Grindwell Norton Ltd.,GRINDWELL,Capital Goods,22.93,42.38,14.55,1.6,43949.89,2.16
Gujarat Ambuja Exports Ltd.,GAEL,Fast Moving Consumer Goods,34.32,21.49,34.47,0.84,40982.58,1.26
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,22.93,13.05,20.21,0.84,240553.0,3.04
Gujarat Gas Ltd.,GUJGASLTD,Oil Gas & Consumable Fuels,13.42,23.91,14.78,2.41,133880.62,4.42
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Metals & Mining,15.57,24.75,13.51,3.17,354327.31,4.22
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,Chemicals,23.16,37.21,17.42,1.18,79723.25,4.43
Gujarat Pipavav Port Ltd.,GPPL,Services,23.08,11.17,17.91,0.76,167891.87,3.77
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Chemicals,14.57,42.72,19.99,0.86,3689.74,1.58
Gujarat State Petronet Ltd.,GSPL,Oil Gas & Consumable Fuels,11.55,49.25,14.32,1.65,317185.85,2.79
H.E.G. Ltd.,HEG,Capital Goods,21.7,14.28,15.61,1.58,481514.51,1.84
HBL Engineering Ltd.,HBLENGINE,Automobile and Auto Components,15.59,47.28,11.54,2.37,344098.92,0.53
HCL Technologies Ltd.,HCLTECH,Information Technology,21.02,65.41,12.88,0.33,173268.59,3.18
HDFC Asset Management Company Ltd.,HDFCAMC,Financial Services,8.64,71.65,24.6,9.78,374951.09,0.82
HDFC Bank Ltd.,HDFCBANK,Financial Services,18.62,16.6,10.33,5.27,244577.27,3.9
HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services,17.57,43.98,14.1,9.98,213377.56,2.37
HFCL Ltd.,HFCL,Telecommunication,12.45,20.9,11.94,2.88,41649.33,3.47
Happiest Minds Technologies Ltd.,HAPPSTMNDS,Information Technology,28.09,43.66,24.36,0.16,216451.23,4.73
Havells India Ltd.,HAVELLS,Consumer Durables,18.39,35.54,14.77,0.91,491996.84,2.16
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components,18.73,19.2,13.2,0.56,326007.58,1.97
Himadri Speciality Chemical Ltd.,HSCL,Chemicals,25.83,28.93,21.62,0.44,434377.27,3.93
Hindalco Industries Ltd.,HINDALCO,Metals & Mining,15.25,30.34,12.61,2.57,66056.82,0.36
Hindustan Aeronautics Ltd.,HAL,Capital Goods,23.81,34.67,15.97,1.46,59095.44,0.8
Hindustan Copper Ltd.,HINDCOPPER,Metals & Mining,14.23,17.91,7.01,2.23,32572.36,2.99
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Oil Gas & Consumable Fuels,8.42,41.9,11.1,2.14,6304.46,0.55
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,34.81,27.0,32.0,0.58,347643.45,4.33
Hindustan Zinc Ltd.,HINDZINC,Metals & Mining,15.36,6.19,9.81,1.26,121401.49,4.94
Hitachi Energy India Ltd.,POWERINDIA,Capital Goods,12.14,29.96,14.18,1.9,280044.52,0.25
Home First Finance Company India Ltd.,HOMEFIRST,Financial Services,12.57,48.65,11.32,5.45,17084.95,0.58
Honasa Consumer Ltd.,HONASA,Fast Moving Consumer Goods,34.92,18.32,31.35,1.1,400393.06,1.16
Honeywell Automation India Ltd.,HONAUT,Capital Goods,12.51,14.18,14.36,1.91,16277.28,4.69
Housing & Urban Development Corporation Ltd.,HUDCO,Financial Services,8.73,50.18,20.64,9.1,357186.42,4.05
ICICI Bank Ltd.,ICICIBANK,Financial Services,12.75,67.96,11.2,9.26,274022.39,4.12
ICICI Lombard General Insurance Company Ltd.,ICICIGI,Financial Services,14.33,56.83,17.9,8.12,41274.18,0.49
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Financial Services,11.46,25.37,23.08,4.53,487944.7,1.82
ICICI Securities Ltd.,ISEC,Financial Services,10.55,66.33,19.88,6.49,277904.09,3.65
IDBI Bank Ltd.,IDBI,Financial Services,11.2,79.76,24.62,7.55,100171.45,3.47
IDFC First Bank Ltd.,IDFCFIRSTB,Financial Services,9.01,16.99,13.87,6.24,434202.12,3.69
IFCI Ltd.,IFCI,Financial Services,18.4,42.66,15.19,5.6,493830.96,0.39
IIFL Finance Ltd.,IIFL,Financial Services,20.14,52.61,16.58,8.08,243591.14,4.39
INOX India Ltd.,INOXINDIA,Capital Goods,23.51,26.87,10.77,1.68,456225.49,1.21
IRB Infrastructure Developers Ltd.,IRB,Construction,15.48,27.1,15.33,1.39,358054.57,4.56
IRCON International Ltd.,IRCON,Construction,10.16,13.31,17.71,1.54,427265.35,2.56
ITC Ltd.,ITC,Fast Moving Consumer Goods,31.18,36.77,28.91,0.87,179937.07,3.05
ITI Ltd.,ITI,Telecommunication,12.45,12.82,14.69,3.03,328539.96,1.76
Indegene Ltd.,INDGN,Healthcare,25.92,15.23,17.7,1.18,118407.21,0.55
India Cements Ltd.,INDIACEM,Construction Materials,10.04,25.59,11.37,1.74,215728.32,1.39
Indiamart Intermesh Ltd.,INDIAMART,Consumer Services,22.34,45.34,10.34,0.84,18817.38,3.73
Indian Bank,INDIANB,Financial Services,17.29,45.85,22.66,8.64,292884.51,4.37
Indian Energy Exchange Ltd.,IEX,Financial Services,10.88,22.27,14.05,3.4,265819.18,4.7
Indian Hotels Co. Ltd.,INDHOTEL,Consumer Services,10.79,16.11,14.33,2.37,158419.97,2.63
Indian Oil Corporation Ltd.,IOC,Oil Gas & Consumable Fuels,6.37,15.93,17.87,3.41,2967.52,4.77
Indian Overseas Bank,IOB,Financial Services,16.95,71.41,16.82,6.61,244678.87,3.4
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Consumer Services,12.79,11.5,12.31,1.91,101325.8,3.43
Indian Railway Finance Corporation Ltd.,IRFC,Financial Services,21.58,21.1,20.09,6.11,434137.06,1.05
Indian Renewable Energy Development Agency Ltd.,IREDA,Financial Services,17.7,69.48,24.17,7.78,248838.79,3.17
Indraprastha Gas Ltd.,IGL,Oil Gas & Consumable Fuels,13.82,32.82,8.3,3.33,344918.61,3.45
Indus Towers Ltd.,INDUSTOWER,Telecommunication,13.24,18.18,8.94,4.6,53743.22,3.36
IndusInd Bank Ltd.,INDUSINDBK,Financial Services,21.99,18.13,24.66,5.85,435441.35,3.96
Info Edge (India) Ltd.,NAUKRI,Consumer Services,21.34,46.92,20.3,1.31,163853.06,3.4
Infosys Ltd.,INFY,Information Technology,31.16,68.11,22.37,0.27,409008.19,0.78
Inox Wind Ltd.,INOXWIND,Capital Goods,18.17,10.23,11.25,1.23,198388.26,3.54
Intellect Design Arena Ltd.,INTELLECT,Information Technology,22.77,52.43,15.09,0.25,114021.18,0.55
InterGlobe Aviation Ltd.,INDIGO,Services,19.05,36.73,15.43,1.43,190203.0,4.34
Ipca Laboratories Ltd.,IPCALAB,Healthcare,21.34,29.17,8.26,1.01,190407.71,2.11
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Healthcare,22.44,31.34,14.08,1.65,406586.38,3.65
J.K. Cement Ltd.,JKCEMENT,Construction Materials,19.47,10.55,9.96,0.51,323913.62,4.51
JBM Auto Ltd.,JBMA,Automobile and Auto Components,10.92,47.08,10.9,2.37,176135.53,0.69
JK Lakshmi Cement Ltd.,JKLAKSHMI,Construction Materials,13.83,17.7,10.85,0.96,401611.44,2.79
JK Tyre & Industries Ltd.,JKTYRE,Automobile and Auto Components,11.74,34.41,20.74,1.05,207067.78,0.79
