"company_name","symbol","industry"
"Fertilisers and Chemicals Travancore Ltd.","FACT","Chemicals"
"Fine Organic Industries Ltd.","FINEORG","Chemicals"
"Finolex Cables Ltd.","FINCABLES","Capital Goods"
"Finolex Industries Ltd.","FINPIPE","Capital Goods"
"Godrej Industries Ltd.","GODREJIND","Diversified"
"Great Eastern Shipping Co. Ltd.","GESHIP","Services"
"Gujarat Fluorochemicals Ltd.","FLUOROCHEM","Chemicals"
"Gujarat Narmada Valley Fertilizers and Chemicals Ltd.","GNFC","Chemicals"
"Gujarat Pipavav Port Ltd.","GPPL","Services"
"Gujarat State Fertilizers & Chemicals Ltd.","GSFC","Chemicals"
"Happiest Minds Technologies Ltd.","HAPPSTMNDS","Information Technology"
"Havells India Ltd.","HAVELLS","Consumer Durables"
"Himadri Speciality Chemical Ltd.","HSCL","Chemicals"
"IRB Infrastructure Developers Ltd.","IRB","Construction"
"IRCON International Ltd.","IRCON","Construction"
"Indiamart Intermesh Ltd.","INDIAMART","Consumer Services"
"Indian Energy Exchange Ltd.","IEX","Financial Services"
"Info Edge (India) Ltd.","NAUKRI","Consumer Services"
"Infosys Ltd.","INFY","Information Technology"
"Inox Wind Ltd.","INOXWIND","Capital Goods"
"Intellect Design Arena Ltd.","INTELLECT","Information Technology"
"InterGlobe Aviation Ltd.","INDIGO","Services"
"JSW Energy Ltd.","JSWENERGY","Power"
"JSW Infrastructure Ltd.","JSWINFRA","Services"
"Jaiprakash Power Ventures Ltd.","JPPOWER","Power"
"Jindal Saw Ltd.","JINDALSAW","Capital Goods"
"KPIT Technologies Ltd.","KPITTECH","Information Technology"
"Karur Vysya Bank Ltd.","KARURVYSYA","Financial Services"
"Kaynes Technology India Ltd.","KAYNES","Capital Goods"
"Kec International Ltd.","KEC","Construction"
"Kirloskar Oil Eng Ltd.","KIRLOSENG","Capital Goods"
"Krishna Institute of Medical Sciences Ltd.","KIMS","Healthcare"
"L&T Finance Ltd.","LTF","Financial Services"
"L&T Technology Services Ltd.","LTTS","Information Technology"
"LTIMindtree Ltd.","LTIM","Information Technology"
"Latent View Analytics Ltd.","LATENTVIEW","Information Technology"
"Maharashtra Seamless Ltd.","MAHSEAMLES","Capital Goods"
"Mastek Ltd.","MASTEK","Information Technology"
"Max Healthcare Institute Ltd.","MAXHEALTH","Healthcare"
"Metro Brands Ltd.","METROBRAND","Consumer Durables"
"MphasiS Ltd.","MPHASIS","Information Technology"
"Narayana Hrudayalaya Ltd.","NH","Healthcare"
"Navin Fluorine International Ltd.","NAVINFLUOR","Chemicals"
"Newgen Software Technologies Ltd.","NEWGEN","Information Technology"
"PCBL Chemical Ltd.","PCBL","Chemicals"
"PI Industries Ltd.","PIIND","Chemicals"
"Persistent Systems Ltd.","PERSISTENT","Information Technology"
"Pidilite Industries Ltd.","PIDILITIND","Chemicals"
"Prestige Estates Projects Ltd.","PRESTIGE","Realty"
"Quess Corp Ltd.","QUESS","Services"
"RHI MAGNESITA INDIA LTD.","RHIM","Capital Goods"
"RITES Ltd.","RITES","Construction"
"Rajesh Exports Ltd.","RAJESHEXPO","Consumer Durables"
"Ratnamani Metals & Tubes Ltd.","RATNAMANI","Capital Goods"
"Raymond Ltd.","RAYMOND","Realty"
"Schneider Electric Infrastructure Ltd.","SCHNEIDER","Capital Goods"
"Shree Cement Ltd.","SHREECEM","Construction Materials"
"Solar Industries India Ltd.","SOLARINDS","Chemicals"
"Sumitomo Chemical India Ltd.","SUMICHEM","Chemicals"
"Syngene International Ltd.","SYNGENE","Healthcare"
"Tata Chemicals Ltd.","TATACHEM","Chemicals"
"Tata Consultancy Services Ltd.","TCS","Information Technology"
"Tata Elxsi Ltd.","TATAELXSI","Information Technology"
"Tata Technologies Ltd.","TATATECH","Information Technology"
"Timken India Ltd.","TIMKEN","Capital Goods"
"Torrent Power Ltd.","TORNTPOWER","Power"
"Trident Ltd.","TRIDENT","Textiles"
"Triveni Turbine Ltd.","TRITURBINE","Capital Goods"
"UTI Asset Management Company Ltd.","UTIAMC","Financial Services"
"UltraTech Cement Ltd.","ULTRACEMCO","Construction Materials"
"V.I.P. Industries Ltd.","VIPIND","Consumer Durables"
"Vijaya Diagnostic Centre Ltd.","VIJAYA","Healthcare"
"Vinati Organics Ltd.","VINATIORGA","Chemicals"
"Wipro Ltd.","WIPRO","Information Technology"
"Zensar Technolgies Ltd.","ZENSARTECH","Information Technology"
